subject,sender_email,body_text,label,combined_text,sender_domain,urgent_word_count,account_suspension_count,password_reset_count,prize_word_count,payment_word_count,credential_request_count,suspicious_keyword_count,suspicious_sender_domain,display_name_domain_mismatch,reply_to_mismatch,impersonation_sender_name,auth_issue_count,link_count,too_many_links,uppercase_ratio,number_ratio,special_character_ratio,short_cta_flag,indicator_tokens,model_text
Code review notes,lead.engineer@company.com,Thanks for the cleanup in the parser module. I left a few notes about naming and test coverage.,0,code review notes emailtoken thanks for the cleanup in the parser module. i left a few notes about naming and test coverage.,company.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03296703296703297,0.0,0.017543859649122806,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,code review notes emailtoken thanks for the cleanup in the parser module. i left a few notes about naming and test coverage. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Mailbox password expiration,helpdesk@office365-security-mail.com,Your password expires today. Keep your mailbox active by confirming your current credentials and backup email.,1,mailbox password expiration emailtoken your password expires today. keep your mailbox active by confirming your current credentials and backup email.,office365-security-mail.com,0,0,1,0,0,2,3,1,0,0,0,0,0,0,0.025423728813559324,0.0,0.014388489208633094,0,urgent_0 suspension_0 pwdreset_1 prize_0 payment_0 credential_2 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,mailbox password expiration emailtoken your password expires today. keep your mailbox active by confirming your current credentials and backup email. urgent_0 suspension_0 pwdreset_1 prize_0 payment_0 credential_2 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Conference tickets,tickets@events.io,Your conference tickets are attached. Doors open at 8:30 AM and breakfast will be served.,0,conference tickets emailtoken your conference tickets are attached. doors open at numtoken : numtoken am and breakfast will be served.,events.io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05813953488372093,0.027522935779816515,0.027522935779816515,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,conference tickets emailtoken your conference tickets are attached. doors open at numtoken : numtoken am and breakfast will be served. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Bank statement available,secure@mybank.com,Your monthly bank statement is now available in the secure online portal. No action is needed unless you notice something unusual.,0,bank statement available emailtoken your monthly bank statement is now available in the secure online portal. no action is needed unless you notice something unusual.,mybank.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023076923076923078,0.0,0.01282051282051282,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,bank statement available emailtoken your monthly bank statement is now available in the secure online portal. no action is needed unless you notice something unusual. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Immediate action needed,service@amazon-account-verify.co,"We noticed a problem processing your order. Login and confirm your shipping address, password, and payment details immediately.",1,immediate action needed emailtoken we noticed a problem processing your order. login and confirm your shipping address password and payment details immediately.,amazon-account-verify.co,1,0,0,0,1,2,4,1,0,0,0,0,0,0,0.023622047244094488,0.0,0.02631578947368421,0,urgent_1 suspension_0 pwdreset_0 prize_0 payment_1 credential_2 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,immediate action needed emailtoken we noticed a problem processing your order. login and confirm your shipping address password and payment details immediately. urgent_1 suspension_0 pwdreset_0 prize_0 payment_1 credential_2 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Class cancelled,lecturer@school.edu,Today's 2 PM class is cancelled due to a faculty meeting. Slides will be uploaded this evening.,0,class cancelled emailtoken today s numtoken pm class is cancelled due to a faculty meeting. slides will be uploaded this evening.,school.edu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056179775280898875,0.008928571428571428,0.026785714285714284,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,class cancelled emailtoken today s numtoken pm class is cancelled due to a faculty meeting. slides will be uploaded this evening. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Re: internship shortlist,recruiter@startupjobs.co,Thanks for your application. We would like to schedule an introductory call next week.,0,internship shortlist emailtoken thanks for your application. we would like to schedule an introductory call next week.,startupjobs.co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03260869565217391,0.0,0.026785714285714284,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,internship shortlist emailtoken thanks for your application. we would like to schedule an introductory call next week. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Security update required,monitor@faceb00k-alerts.net,Your profile will be disabled unless you complete identity confirmation and submit your login password now.,1,security update required emailtoken your profile will be disabled unless you complete identity confirmation and submit your login password now.,faceb00k-alerts.net,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0.017699115044247787,0.0,0.007518796992481203,0,urgent_1 suspension_0 pwdreset_0 prize_0 payment_0 credential_1 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,security update required emailtoken your profile will be disabled unless you complete identity confirmation and submit your login password now. urgent_1 suspension_0 pwdreset_0 prize_0 payment_0 credential_1 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Travel reimbursement form,finance@company.com,Please fill out the reimbursement form for your client travel and attach the hotel invoice.,0,travel reimbursement form emailtoken please fill out the reimbursement form for your client travel and attach the hotel invoice.,company.com,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.020202020202020204,0.0,0.00847457627118644,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_1 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,travel reimbursement form emailtoken please fill out the reimbursement form for your client travel and attach the hotel invoice. urgent_0 suspension_0 pwdreset_0 prize_0 payment_1 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Unusual billing attempt,alerts@visa-auth-check.com,"We detected unusual billing behavior. Verify your card PIN, CVV, and account login to stop fraudulent charges.",1,unusual billing attempt emailtoken we detected unusual billing behavior. verify your card pin cvv and account login to stop fraudulent charges.,visa-auth-check.com,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0.08108108108108109,0.0,0.02962962962962963,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_2 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,unusual billing attempt emailtoken we detected unusual billing behavior. verify your card pin cvv and account login to stop fraudulent charges. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_2 authissues_0 links_0 flag_suspiciousdomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
Birthday dinner plans,cousin@yahoo.com,We're planning dinner for Saturday night at 7 PM. Let me know if that time works for you.,0,birthday dinner plans emailtoken we re planning dinner for saturday night at numtoken pm. let me know if that time works for you.,yahoo.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06896551724137931,0.008928571428571428,0.026785714285714284,0,urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta,birthday dinner plans emailtoken we re planning dinner for saturday night at numtoken pm. let me know if that time works for you. urgent_0 suspension_0 pwdreset_0 prize_0 payment_0 credential_0 authissues_0 links_0 flag_standarddomain flag_displayaligned flag_replymatch flag_noimpersonation flag_normallinks flag_nocta
